Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Cart_Abandonment_Rate,Returns_Per_Year,Customer_Service_Calls,Products_Viewed,Wishlist_Items,Payment_Method_Changes,Reviews_Written,Discount_Used_Percentage,Days_Since_Last_Purchase,Average_Order_Value
mstephenson@fernandez.com,"835 Frank Tunnel
Wrightmouth, MI 82180-9605",Violet,34.49726772511229,12.655651149166752,39.57766801952616,4.082620632952961,587.9510539684005,0.249816047538945,0,9,177.0,13,0,15.0,8.0,324,65.15
hduke@hotmail.com,"4547 Archer Common
Diazchester, CA 06566-8576",DarkGreen,31.92627202636016,11.109460728682564,37.268958868297744,2.66403418213262,392.2049334443264,0.4802857225639665,0,1,149.0,6,1,5.0,22.0,207,75.12
pallen@yahoo.com,"24645 Valerie Unions Suite 582
Cobbborough, DC 99414-7564",Bisque,33.000914755642675,11.330278057777512,37.11059744212085,4.104543202376424,487.54750486747207,0.39279757672456206,0,2,25.0,9,2,5.0,26.0,129,72.09
riverarebecca@gmail.com,"1414 David Throughway
Port Jason, OH 22070-1220",SaddleBrown,34.30555662975554,13.717513665142508,36.72128267790313,3.120178782748092,581.8523440352178,0.3394633936788146,4,6,150.0,3,0,12.0,13.0,311,195.96
mstephens@davidson-herman.com,"14023 Rodriguez Passage
Port Jacobville, PR 37242-1057",MediumAquaMarine,33.33067252364639,12.795188551078114,37.53665330059473,4.446308318351435,599.4060920457634,0.1624074561769746,3,6,64.0,1,1,4.0,24.0,3,163.89
alvareznancy@lucas.biz,"645 Martha Park Apt. 611
Jeffreychester, MN 67218-7250",FloralWhite,33.87103787934198,12.026925339755058,34.47687762925054,5.493507201364199,637.102447915074,0.16239780813448107,4,3,129.0,6,2,10.0,17.0,242,195.16
katherine20@yahoo.com,"68388 Reyes Lights Suite 692
Josephbury, WV 92213-0247",DarkSlateBlue,32.02159550138701,11.366348309710526,36.683776152869605,4.685017246570912,521.5721747578274,0.12323344486727979,3,4,36.0,5,1,9.0,26.0,121,115.96
awatkins@yahoo.com,"Unit 6538 Box 8980
DPO AP 09026-4941",Aqua,32.739142938380326,12.35195897300293,37.373358858547554,4.4342734348999375,549.9041461052942,0.4464704583099741,4,4,35.0,2,1,9.0,10.0,102,91.76
vchurch@walter-martinez.com,"860 Lee Key
West Debra, SD 97450-0495",Salmon,33.98777289568564,13.386235275676434,37.534497341555735,3.2734335777477144,570.2004089636195,0.34044600469728353,4,5,110.0,5,1,21.0,30.0,38,169.74
bonnie69@lin.biz,"PSC 2734, Box 5255
APO AA 98456-7482",Brown,31.93654861844892,11.814128294972196,37.14516822352819,3.202806071553459,427.19938489532814,0.3832290311184182,2,8,35.0,10,1,20.0,12.0,341,98.94
andrew06@peterson.com,"26104 Alexander Groves
Alexandriaport, WY 28244-9149",Tomato,33.99257277495374,13.338975447662111,37.22580613162114,2.482607770510596,492.6060127179966,0.10823379771832098,4,1,164.0,14,2,15.0,14.0,133,94.91
ryanwerner@freeman.biz,"Unit 2413 Box 0347
DPO AA 07580-2652",Tomato,33.87936082480498,11.584782999535266,37.087926070983805,3.71320920294043,522.3374046069357,0.4879639408647978,1,4,47.0,5,2,9.0,5.0,202,84.88
knelson@gmail.com,"6705 Miller Orchard Suite 186
Lake Shanestad, MO 75696-5051",RoyalBlue,29.532428967057943,10.961298400154098,37.42021557502538,4.046423164299585,408.64035107262754,0.4329770563201687,2,2,67.0,11,2,11.0,7.0,348,69.45
wrightpeter@yahoo.com,"05302 Dunlap Ferry
New Stephaniehaven, MP 42268",Bisque,33.19033404372265,12.959226091609382,36.14466670004192,3.918541839158999,573.4158673313865,0.18493564427131048,4,3,145.0,4,0,22.0,19.0,21,88.47
taylormason@gmail.com,"7773 Powell Springs Suite 190
Samanthaland, ND 44358",DarkBlue,32.38797585315387,13.148725692056516,36.61995708279922,2.494543646659249,470.45273330095546,0.17272998688284025,0,9,170.0,3,2,13.0,11.0,242,103.3
jstark@anderson.com,"49558 Ramirez Road Suite 399
Phillipstad, OH 35641-3238",Peru,30.737720372628186,12.636606052000127,36.213763093698624,3.357846842326294,461.7807421962299,0.17336180394137352,1,5,78.0,9,1,4.0,28.0,109,151.1
wjennings@gmail.com,"6362 Wilson Mountain
Johnsonfurt, GA 15169",PowderBlue,32.12538689728784,11.733861690857392,34.8940927514398,3.1361327164897803,457.84769594494855,0.2216968971838151,1,7,123.0,11,2,15.0,4.0,303,59.38
rebecca45@hale-bauer.biz,"8982 Burton Row
Wilsonton, PW 88606",OliveDrab,32.33889932306719,12.0131946940144,38.38513659413844,2.420806160901484,407.7045475495441,0.3099025726528951,1,0,196.0,14,1,20.0,14.0,84,81.58
alejandro75@hotmail.com,"64475 Andre Club Apt. 795
Port Dannytown, PW 63227",Cyan,32.187812045932155,14.7153875441565,38.24411459434352,1.516575580831944,452.31567548003545,0.2727780074568463,2,9,159.0,0,0,6.0,12.0,83,171.35
samuel46@love-west.net,"544 Alexander Heights Suite 768
North Johnview, MT 57912",LightSeaGreen,32.61785606282345,13.989592555825254,37.19050380039796,4.064548550437977,605.061038804892,0.21649165607921678,4,7,142.0,9,1,11.0,5.0,291,72.04
megan33@gmail.com,"84426 Julia Vista
North Teresa, KY 50756",PeachPuff,32.91278511115979,11.365492025516156,37.60779252420698,4.599937357614995,534.7057438060227,0.34474115788895177,4,6,75.0,5,1,17.0,8.0,69,101.4
agolden@yahoo.com,"PSC 2490, Box 2120
APO AE 15445-2876",Black,33.50308725671972,12.87798369625634,37.44102133556604,1.559151939957077,419.9387748391792,0.15579754426081674,0,0,55.0,1,1,6.0,14.0,129,179.7
vstafford@hotmail.com,"PSC 5723, Box 8159
APO AA 74738",Olive,31.531604482572902,13.378562784168986,38.73400628989712,2.2451477874052825,436.51560572936256,0.21685785941408728,0,1,74.0,12,0,19.0,17.0,196,73.24
denise22@hernandez-townsend.com,"USNS Cardenas
FPO AA 85439-9449",Silver,32.903250973372074,11.657575922065584,36.77260376125875,3.919302308553184,519.3409891307888,0.2465447373174767,1,2,66.0,2,2,16.0,16.0,140,62.41
